 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
PA,,Grass Cut Count,,,,,,,,,,,,,
PA,,% Grass Cut Passing,0.65,0.639705882,0.677419355,0.674311927,0.668539326,0.793650794,,0.793650794,0.099938826,0.693711968,,,
PA,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,Overall Score,,78,
VA,Virginia,,,,,,,,,,,,,,
VA,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
VA,Initial Services,Initial Services Completed,80,75,71,58,59,28,,26,11.55555556,65,,,
VA,,Average Days to Complete Initial Service,11.01351351,7.121212121,8.641791045,9.7,8.642857143,7.271604938,7.271604938,7.271604938,-3.153052596,10.42465753,,16,20
VA,,Average Days to BSO Pass,7.442857143,8.926470588,10.56521739,8.448979592,11.59322034,8.67032967,,7.271604938,-3.153052596,10.42465753,,,
VA,,% Completed >10 Days,0.239819005,0.179487179,0.32195122,0.20625,0.262295082,0.148148148,0.148148148,0.148148148,-0.139523085,0.287671233,,,
VA,,Initial Interior Maintenance % Overdue,0.486111111,0.372093023,0.617647059,0.350877193,0.390625,0.206896552,,0.206896552,-0.208687864,0.415584416,,,
VA,,Initial Exterior Maintenance % Overdue,0.22972973,0.121212121,0.28358209,0.22,0.214285714,0.076923077,,0.076923077,-0.169230769,0.246153846,,,
VA,,Initial Trash Removal % Overdue,0.426666667,0.402439024,0.6,0.339622642,0.396825397,0.153846154,,0.153846154,-0.248751249,0.402597403,,,
VA,,Initial Interior Maintenance % Overdue,0.285714286,0.210526316,0.25,0.277777778,0.136363636,0.272727273,0.272727273,,,,,,
VA,,Initial Exterior Maintenance % Overdue,0.166666667,0.1875,0.1,0.166666667,0.055555556,0.555555556,0.555555556,,,,,,
VA,,Initial Trash Removal % Overdue,0.25,0.071428571,0.111111111,0.214285714,0.05,0.25,0.25,,,,,,
VA,Initial QC,Initial Services QC Completed,45,39,74,97,52,15,,15,-2.555555556,79,,,
VA,,Initial Safety Rating,0.777777778,0.794871795,0.905405405,0.804123711,0.865384615,0.866666667,,0.866666667,-0.006751055,0.873417722,,,
VA,,Initial Interior Rating,1,0.846153846,0.891891892,0.81443299,0.980769231,0.866666667,,0.866666667,-0.09535865,0.962025316,,,
VA,,Initial Exterior Rating,0.866666667,0.846153846,0.783783784,0.793814433,0.807692308,0.933333333,,0.933333333,0.123206751,0.810126582,,,
VA,,Overall Initial Services QC Score,0.933333333,0.897435897,0.878378378,0.835051546,0.961538462,1,1,1,0.025316456,0.974683544,,20,20
VA,BSO,Initial BSO Volume,64,85,59,57,57,21,,21,6.777777778,64,,,
VA,,Initial BSO % Passing,0.875,0.870588235,0.830508475,0.964912281,0.859649123,0.952380952,,0.952380952,0.077380952,0.875,,20,20
VA,,Overall BSO % Passing,0.846153846,0.864583333,0.833333333,0.968253968,0.833333333,0.956521739,,0.956521739,0.107206671,0.849315068,,10,10
VA,,Number of Reorders,14,11,13,6,9,2,,2,0,9,,,
VA,,Average Days to Complete Reorder,15.16666667,15.08333333,12.38461538,11.22222222,25.14285714,,,,-,,,10,10
VA,,Number of Failed BSO,8,11,10,2,8,1,,1,-0.777777778,8,,,
VA,,% BSO Failed Interior,0.046875,0.058823529,0.084745763,0,0.035087719,0,,0,,0.03125,,,
VA,,% BSO Failed Exterior,0.0625,0.082352941,0.050847458,0.01754386,0.070175439,0,,0,,0.0625,,,
VA,,% BSO Failed Trash Removal,0.078125,0.058823529,0.050847458,0.01754386,0.087719298,0.047619048,,0.047619048,,0.078125,,,
VA,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
VA,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
VA,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
VA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
VA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
VA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
VA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
VA,Ongoing QC,Ongoing Services QC Completed,60,56,91,137,191,54,,54,-4.222222222,262,,,
VA,,Ongoing Services Safety Rating,0.866666667,0.875,0.901098901,0.861313869,0.910994764,0.981481481,,,-,,,,
VA,,Ongoing Services Interior Rating,0.983333333,0.928571429,0.912087912,0.890510949,0.968586387,0.944444444,,,-,,,,
VA,,Ongoing Services Exterior Rating,0.75,0.892857143,0.747252747,0.744525547,0.732984293,0.944444444,,,-,,,,
VA,,Overall Ongoing Services QC Score,0.883333333,0.964285714,0.901098901,0.905109489,0.921465969,0.981481481,0.981481481,,-,,,20,20
VA,Seasonal,Wint Count,0,0,0,0,0,103,,,,,,,
VA,,Avg Days to Complete Wints,,,,,,6.466019417,,,,,,,
VA,,Initial Winterization % Overdue,,,,,,,,,,,,,
VA,,Grass Cut Count,,,,,,,,,,,,,
VA,,% Grass Cut Passing,0.55,0.785714286,0.736263736,0.649635036,0.701570681,0.925925926,,0.925925926,0.170200735,0.755725191,,,
VA,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,Overall Score,,96,
WV,West Virginia,,,,,,,,,,,,,,
WV,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
WV,Initial Services,Initial Services Completed,22,19,19,26,13,5,,5,1.444444444,16,,,
WV,,Average Days to Complete Initial Service,9.210526316,9.8,11.83333333,9.318181818,10.16666667,12.75,12.75,12.75,0.865384615,11.88461538,,8,20
WV,,Average Days to BSO Pass,11.5,9.8,15.05555556,9.956521739,10.16666667,12.75,,12.75,0.865384615,11.88461538,,,
WV,,% Completed >10 Days,0.351851852,0.34375,0.423076923,0.389830508,0.418604651,0.6875,0.6875,0.6875,0.245192308,0.442307692,,,
WV,,Initial Interior Maintenance % Overdue,0.470588235,0.541666667,0.470588235,0.444444444,0.529411765,0.8,,0.8,0.221052632,0.578947368,,,
WV,,Initial Exterior Maintenance % Overdue,0.368421053,0.333333333,0.444444444,0.409090909,0.333333333,0.6,,0.6,0.225,0.375,,,
WV,,Initial Trash Removal % Overdue,0.5,0.56,0.470588235,0.526315789,0.428571429,0.666666667,,0.666666667,0.137254902,0.529411765,,,
WV,,Initial Interior Maintenance % Overdue,0.444444444,0.285714286,0.333333333,0.285714286,0.75,0.2,0.2,,,,,,
WV,,Initial Exterior Maintenance % Overdue,0.333333333,0.166666667,0,0.5,0.666666667,0,0,,,,,,
WV,,Initial Trash Removal % Overdue,0.25,0.2,0.4,0.25,0.75,0,0,,,,,,
WV,Initial QC,Initial Services QC Completed,5,8,27,26,34,5,,5,-5.222222222,46,,,
WV,,Initial Safety Rating,0.8,1,0.851851852,0.769230769,0.764705882,0.6,,0.6,-0.139130435,0.739130435,,,
WV,,Initial Interior Rating,0.8,1,0.925925926,0.923076923,0.882352941,1,,1,0.130434783,0.869565217,,,
WV,,Initial Exterior Rating,1,0.625,0.407407407,0.923076923,0.823529412,0.6,,0.6,-0.204347826,0.804347826,,,
WV,,Overall Initial Services QC Score,1,1,0.666666667,0.884615385,0.852941176,0.6,0.6,0.6,-0.226086957,0.826086957,,8,20
WV,BSO,Initial BSO Volume,16,17,22,15,17,2,,2,-2,18,,,
WV,,Initial BSO % Passing,0.75,0.882352941,0.909090909,0.933333333,1,1,,1,0,1,,20,20
WV,,Overall BSO % Passing,0.818181818,0.904761905,0.916666667,0.882352941,1,1,,1,0,1,,10,10
WV,,Number of Reorders,6,4,2,2,1,0,,0,-0.222222222,1,,,
WV,,Average Days to Complete Reorder,14,8.4,9.181818182,38,44,,,,-,,,10,10
WV,,Number of Failed BSO,4,2,2,1,0,0,,0,0,0,,,
WV,,% BSO Failed Interior,0.25,0.058823529,0.045454545,0.066666667,0,0,,0,,0,,,
WV,,% BSO Failed Exterior,0.0625,0,0.045454545,0.066666667,0,0,,0,,0,,,
WV,,% BSO Failed Trash Removal,0.0625,0.117647059,0.090909091,0.066666667,0,0,,0,,0,,,
WV,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
WV,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
WV,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
WV,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
WV,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
WV,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
WV,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
WV,Ongoing QC,Ongoing Services QC Completed,6,15,6,30,45,14,,14,-2.222222222,73,,,
WV,,Ongoing Services Safety Rating,0.833333333,0.866666667,0.833333333,0.933333333,0.822222222,0.928571429,,,-,,,,
WV,,Ongoing Services Interior Rating,0.833333333,0.933333333,1,0.866666667,0.844444444,0.928571429,,,-,,,,
WV,,Ongoing Services Exterior Rating,0.666666667,0.666666667,0.5,0.7,0.844444444,0.428571429,,,-,,,,
WV,,Overall Ongoing Services QC Score,0.833333333,0.8,0.833333333,1,0.888888889,0.785714286,0.785714286,,-,,,16,20
WV,Seasonal,Wint Count,0,0,0,0,0,18,,,,,,,
WV,,Avg Days to Complete Wints,,,,,,7.944444444,,,,,,,
WV,,Initial Winterization % Overdue,,,,,,,,,,,,,
WV,,Grass Cut Count,,,,,,,,,,,,,
WV,,% Grass Cut Passing,0,0.266666667,0.666666667,0.466666667,0.6,0.785714286,,0.785714286,0.16927593,0.616438356,,,
WV,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,Overall Score,,72,
ny,New York,,,,,,,,,,,,,,
ny,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
ny,Initial Services,Initial Services Completed,49,175,90,98,66,40,,31,15,72,,,
ny,,Average Days to Complete Initial Service,11.67857143,16.69127517,17.8,15.93023256,12.71428571,11.03636364,11.03636364,11.03636364,-4.161115355,15.19747899,,12,20
ny,,Average Days to BSO Pass,6.263157895,14.26896552,19.66666667,15.78313253,16.40983607,12.60162602,,11.03636364,-4.161115355,15.19747899,,,
ny,,% Completed >10 Days,0.073394495,0.69212963,0.669172932,0.597826087,0.52688172,0.481818182,0.481818182,0.481818182,-0.034988541,0.516806723,,,
ny,,Initial Interior Maintenance % Overdue,0.351351351,0.821428571,0.741935484,0.71875,0.640625,0.525,,0.525,-0.109146341,0.634146341,,,
ny,,Initial Exterior Maintenance % Overdue,0.357142857,0.718120805,0.7125,0.604651163,0.517857143,0.451612903,,0.451612903,-0.062275986,0.513888889,,,
ny,,Initial Trash Removal % Overdue,0.454545455,0.832167832,0.731182796,0.712765957,0.651515152,0.512820513,,0.512820513,-0.118131868,0.630952381,,,
ny,,Initial Interior Maintenance % Overdue,0.620689655,0.627906977,0.489361702,0.4375,0.363636364,0.25,0.25,,,,,,
ny,,Initial Exterior Maintenance % Overdue,0.510204082,0.682926829,0.555555556,0.291666667,0.384615385,0.458333333,0.458333333,,,,,,
ny,,Initial Trash Removal % Overdue,0.58490566,0.594594595,0.475,0.464285714,0.3125,0.222222222,0.222222222,,,,,,
ny,Initial QC,Initial Services QC Completed,3,99,96,99,98,21,,21,-8.555555556,133,,,
ny,,Initial Safety Rating,1,0.686868687,0.572916667,0.686868687,0.714285714,0.619047619,,0.619047619,-0.080200501,0.69924812,,,
ny,,Initial Interior Rating,1,0.828282828,0.8125,0.797979798,0.887755102,0.904761905,,0.904761905,0.010025063,0.894736842,,,
ny,,Initial Exterior Rating,1,0.404040404,0.333333333,0.414141414,0.520408163,0.523809524,,0.523809524,0.020050125,0.503759398,,,
ny,,Overall Initial Services QC Score,1,0.656565657,0.552083333,0.606060606,0.693877551,0.761904762,0.761904762,0.761904762,0.055137845,0.706766917,,16,20
ny,BSO,Initial BSO Volume,26,156,76,82,66,26,,26,8.888888889,77,,,
ny,,Initial BSO % Passing,0.807692308,0.794871795,0.736842105,0.804878049,0.818181818,0.807692308,,0.807692308,-0.023476523,0.831168831,,16,20
ny,,Overall BSO % Passing,0.78125,0.765258216,0.725,0.793650794,0.822222222,0.766666667,,0.766666667,-0.040672783,0.80733945,,8,10
ny,,Number of Reorders,6,57,44,46,24,4,,4,-3.111111111,32,,,
ny,,Average Days to Complete Reorder,,8.675,19.81578947,18.76086957,22.84210526,,,,-,,,10,10
ny,,Number of Failed BSO,5,32,20,16,12,5,,5,2.111111111,13,,,
ny,,% BSO Failed Interior,0.115384615,0.083333333,0.131578947,0.146341463,0.045454545,0.115384615,,0.115384615,,0.051948052,,,
ny,,% BSO Failed Exterior,0.115384615,0.128205128,0.105263158,0.134146341,0.151515152,0.115384615,,0.115384615,,0.12987013,,,
ny,,% BSO Failed Trash Removal,0.038461538,0.096153846,0.144736842,0.048780488,0.106060606,0.038461538,,0.038461538,,0.090909091,,,
ny,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
ny,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
ny,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
ny,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
ny,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
ny,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
ny,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
ny,Ongoing QC,Ongoing Services QC Completed,0,72,130,161,270,35,,35,-48.11111111,374,,,
ny,,Ongoing Services Safety Rating,,0.791666667,0.7,0.776397516,0.688888889,0.771428571,,,-,,,,
ny,,Ongoing Services Interior Rating,,0.791666667,0.792307692,0.807453416,0.822222222,0.8,,,-,,,,
ny,,Ongoing Services Exterior Rating,,0.388888889,0.353846154,0.546583851,0.459259259,0.571428571,,,-,,,,
ny,,Overall Ongoing Services QC Score,,0.652777778,0.607692308,0.708074534,0.674074074,0.657142857,0.657142857,,-,,,12,20
ny,Seasonal,Wint Count,8,388,0,0,91,87,,,,,,,
ny,,Avg Days to Complete Wints,0,0,,,16,32.33333333,,,,,,,
ny,,Initial Winterization % Overdue,,,,,0.976190476,,,,,,,,
ny,,Grass Cut Count,,,,,,,,,,,,,
ny,,% Grass Cut Passing,-,0.305555556,0.346153846,0.608695652,0.537037037,0.714285714,,0.714285714,0.128724217,0.585561497,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Overall Score,,74,
